date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:13:38	81/81	---MCZ	200	added ('OK')	text/plain	etag:W/%2246-avZNmsNHt7Czz+I0p5BzzwWjiYI%22	https://database.avakin.io/robots.txt		(from )
14:13:38	5471/5471	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Aug%202022%2017:13:38%20GMT	https://database.avakin.io/	C:/Users/guizin%20war/Desktop/site/s/database.avakin.io/index.html	(from )
14:13:38	999/999	---M--	200	added ('OK')	image/png	etag:W/%223e7-tpODJfrtBvYMaJztZXu7n6wtaYc%22	https://database.avakin.io/apple-touch-icon.png	C:/Users/guizin%20war/Desktop/site/s/database.avakin.io/apple-touch-icon.png	(from https://database.avakin.io/)
14:13:38	548/548	---M--	200	added ('OK')	image/png	etag:W/%22224-VmFAjRqTYvT8/Ax7lpfk+AxRLq4%22	https://database.avakin.io/favicon-32x32.png	C:/Users/guizin%20war/Desktop/site/s/database.avakin.io/favicon-32x32.png	(from https://database.avakin.io/)
14:13:39	506/506	---M--	200	added ('OK')	image/png	etag:W/%221fa-FV4n4ba9AjdKbQD3lJWXVTowArE%22	https://database.avakin.io/favicon-16x16.png	C:/Users/guizin%20war/Desktop/site/s/database.avakin.io/favicon-16x16.png	(from https://database.avakin.io/)
14:13:39	455/455	---MCZ	200	added ('OK')	application/manifest+json	etag:W/%221c7-64qDAHcvFfTj7M6XQ1/r58Jpjzw%22	https://database.avakin.io/site.webmanifest	C:/Users/guizin%20war/Desktop/site/s/database.avakin.io/site.webmanifest	(from https://database.avakin.io/)
14:13:40	1097/1097	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22449-oq9J030POBKBsInyDY81L/LAKKo%22	https://database.avakin.io/safari-pinned-tab.svg	C:/Users/guizin%20war/Desktop/site/s/database.avakin.io/safari-pinned-tab.svg	(from https://database.avakin.io/)
14:13:41	29744/29744	---MCZ	200	added ('OK')	font/ttf	etag:W/%227430-tXqAFaaBLcJwO5J4BuCG04ISJzE%22	https://database.avakin.io/madsense.ttf	C:/Users/guizin%20war/Desktop/site/s/database.avakin.io/madsense.ttf	(from https://database.avakin.io/)
14:13:42	13526299/13526299	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ce651b-DrAWDWWNWxPl9Uuy2xfNI0w3LFk%22	https://database.avakin.io/index.e6fff436ff04a38a359b.js	C:/Users/guizin%20war/Desktop/site/s/database.avakin.io/index.e6fff436ff04a38a359b.js	(from https://database.avakin.io/)
14:13:42	769232/769232	---M--	200	added ('OK')	image/png	etag:%228292d94ea8c570fc154c68680683175f%22	https://i.imgur.com/UsIokLj.png	C:/Users/guizin%20war/Desktop/site/s/i.imgur.com/UsIokLj.png	(from https://database.avakin.io/)
